ip_address,network,continent_code,continent_name,country_is_in_european_union,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,postal_code,latitude,longitude,accuracy_radius,registered_country_is_in_european_union,registered_country_iso_code,represented_country_is_in_european_union,represented_country_iso_code,represented_country_type,is_anonymous_proxy,is_satellite_provider,autonomous_system_number,autonomous_system_organization,domain,isp,organization,static_ip_score,user_type,country_confidence,subdivision_confidence,city_confidence,postal_confidence,population_density,average_income,user_count,is_anonymous,is_anonymous_vpn,is_tor_exit_node,is_hosting_provider,is_public_proxy,error
91.236.74.18,91.236.74.18/31,EU,Europe,1,PL,Poland,,,,,,52.2394,21.0362,200,1,PL,,,,,,198540,Przedsiebiorstwo Uslug Specjalistycznych ELAN mgr inz. Andrzej Niechcial,,Przedsiebiorstwo Uslug Specjalistycznych ELAN mgr,Przedsiebiorstwo Uslug Specjalistycznych ELAN mgr,,residential,99,,,,,,,,,,,,
93.120.180.15,93.120.180.0/25,EU,Europe,,RU,Russia,NIZ,Nizhny Novgorod Oblast,Nizhniy Novgorod,,603000,56.3283,44.0019,50,,RU,,,,,,12389,Rostelecom,mts-nn.ru,Rostelecom,Rostelecom,16.5,residential,99,99,50,30,,,,,,,,,
46.183.220.184,46.183.220.128/26,EU,Europe,1,LV,Latvia,,,,,,57,25,50,1,LV,,,,,,52048,DataClub S.A.,dataclub.info,DataClub S.A.,DataClub S.A.,,hosting,99,,,,,,,1,,,1,,
89.35.30.147,89.35.30.128/26,EU,Europe,1,GB,United Kingdom,ENG,England,London,,EC2V,51.5164,-0.093,200,1,GB,,,,,,25369,Hydra Communications Ltd,zare.com,Osetec-UK,"Osetec, Inc.",,hosting,90,10,10,1,,,,1,,,1,,
93.119.21.111,93.119.20.0/22,EU,Europe,1,IT,Italy,CO,Provincia di Como,Cermenate,,22072,45.702,9.0836,500,1,IT,,,,,,59862,Professional Link S.r.l.,,Professional Link S.r.l.,Professional Link S.r.l.,,business,99,,0,0,,,,,,,,,
85.175.171.8,85.175.171.8/32,EU,Europe,,RU,Russia,KDA,Krasnodarskiy Kray,Krasnodar,,350000,45.0355,38.975,100,,RU,,,,,,25490,Rostelecom,,Rostelecom,Rostelecom,14.1,residential,99,90,60,1,,,,1,,,,1,
119.82.252.18,119.82.252.18/32,AS,Asia,,KH,Cambodia,12,Phnom Penh,Phnom Penh,,,11.5583,104.9121,1000,,KH,,,,,,38901,EZECOM limited,ezecom.com.kh,EZECOM limited,EZECOM limited,12.8,residential,40,30,30,,,,,1,,,,1,
107.150.90.92,107.150.90.64/27,EU,Europe,1,SE,Sweden,,,,,,59.3247,18.056,500,1,SE,,,,,,58065,Packet Exchange Limited,,Inter Connects Inc,Packet Exchange Limited,,hosting,99,,,,,,,1,,,1,,
209.99.174.12,209.99.174.0/26,NA,North America,,US,United States,,,,,,37.751,-97.822,1000,,US,,,,,,58964,IGIGLE HOST,,Connectionet Solutions,Igigle Host,,hosting,99,,,,,,,1,,,1,,
23.106.246.144,23.106.246.0/24,NA,North America,,US,United States,AZ,Arizona,Phoenix,753,85054,33.6731,-111.9461,1000,,US,,,,,,,,,"Nobis Technology Group, LLC","Nobis Technology Group, LLC",,hosting,99,60,20,10,,,,1,,,1,,
23.106.237.127,23.106.236.0/23,EU,Europe,1,GB,United Kingdom,,,,,,51.4964,-0.1224,200,1,GB,,,,,,,,,Leaseweb Uk Limited,Leaseweb Uk Limited,,hosting,99,,,,,,,1,,,1,,
107.158.222.133,107.158.222.128/27,EU,Europe,1,NL,Netherlands,NH,North Holland,Amsterdam,,1091,52.3534,4.9087,1000,,US,,,,,,49532,Eonix Corporation,,Eonix Corporation,Eonix Corporation,,hosting,80,20,10,10,1885,25597,,1,,,1,,
165.231.133.234,165.231.133.232/29,EU,Europe,1,SE,Sweden,,,,,,59.3247,18.056,50,1,SE,,,,,,58065,Packet Exchange Limited,,Fiber Grid Inc,Packet Exchange Limited,,hosting,99,,,,,,,1,,,1,,
85.206.165.7,85.206.165.0/28,EU,Europe,1,LT,Republic of Lithuania,,,,,,56,24,200,1,LT,,,,,,61272,"Informacines sistemos ir technologijos, UAB",bacloud.info,"Informacines sistemos ir technologijos, UAB","Informacines sistemos ir technologijos, UAB",,hosting,99,,,,,,,1,,,1,,
